Date 	Member Joins
22/10/16	1
23/10/16	13
24/10/16	14
25/10/16	7
26/10/16	1
27/10/16	1
28/10/16	2
29/10/16	1
30/10/16	0
31/10/16	0
1/11/16	0
2/11/16	1
3/11/16	0
4/11/16	1
5/11/16	1
6/11/16	1
7/11/16	2
8/11/16	2
9/11/16	0
10/11/16	0
11/11/16	0
12/11/16	1
13/11/16	0
14/11/16	1
15/11/16	1
16/11/16	4
17/11/16	3
18/11/16	2
19/11/16	1
20/11/16	2
21/11/16	3
22/11/16	2
23/11/16	0
24/11/16	3
25/11/16	1
26/11/16	0
27/11/16	0
28/11/16	3
29/11/16	7
30/11/16	2
1/12/16	4
2/12/16	4
3/12/16	2
4/12/16	3
5/12/16	10
6/12/16	1
7/12/16	1
8/12/16	0
9/12/16	1
10/12/16	1
11/12/16	0
12/12/16	0
13/12/16	0
14/12/16	0
15/12/16	0
16/12/16	1
17/12/16	2
18/12/16	0
19/12/16	1
20/12/16	0
21/12/16	0
22/12/16	5
23/12/16	1
24/12/16	0
25/12/16	0
26/12/16	1
27/12/16	0
28/12/16	0
29/12/16	1
30/12/16	1
31/12/16	0
1/1/17	1
2/1/17	0
3/1/17	5
4/1/17	3
5/1/17	0
6/1/17	0
7/1/17	1
8/1/17	1
9/1/17	1
10/1/17	0
11/1/17	2
12/1/17	0
13/1/17	0
14/1/17	1
15/1/17	2
16/1/17	0
17/1/17	2
18/1/17	1
19/1/17	1
20/1/17	1
21/1/17	1
22/1/17	1
23/1/17	0
24/1/17	0
25/1/17	2
26/1/17	1
27/1/17	1
28/1/17	0
29/1/17	0
30/1/17	0
31/1/17	1
1/2/17	2
2/2/17	1
3/2/17	0
4/2/17	0
5/2/17	1
6/2/17	0
7/2/17	0
8/2/17	1
9/2/17	0
10/2/17	2
11/2/17	1
12/2/17	0
13/2/17	1
14/2/17	1
15/2/17	1
16/2/17	1
17/2/17	2
18/2/17	1
19/2/17	3
20/2/17	3
21/2/17	4
22/2/17	1
23/2/17	0
24/2/17	0
25/2/17	1
26/2/17	1
27/2/17	0
28/2/17	2
1/3/17	1
2/3/17	0
3/3/17	0
4/3/17	0
5/3/17	0
6/3/17	1
7/3/17	0
8/3/17	0
9/3/17	0
10/3/17	0
11/3/17	1
12/3/17	1
13/3/17	1
14/3/17	1
15/3/17	0
16/3/17	3
17/3/17	0
18/3/17	0
19/3/17	0
20/3/17	3
21/3/17	0
22/3/17	2
23/3/17	2
24/3/17	1
25/3/17	0
26/3/17	0
27/3/17	0
28/3/17	0
29/3/17	0
30/3/17	0
31/3/17	3
1/4/17	0
2/4/17	1
3/4/17	0
4/4/17	2
5/4/17	2
6/4/17	0
7/4/17	1
8/4/17	0
9/4/17	0
10/4/17	2
11/4/17	1
12/4/17	1
13/4/17	0
14/4/17	1
15/4/17	0
16/4/17	0
17/4/17	1
18/4/17	2
19/4/17	2
20/4/17	0
21/4/17	0
22/4/17	0
23/4/17	0
24/4/17	1
25/4/17	1
26/4/17	2
27/4/17	0
28/4/17	1
29/4/17	1
30/4/17	0
1/5/17	0
2/5/17	0
3/5/17	0
4/5/17	1
5/5/17	0
6/5/17	1
7/5/17	1
8/5/17	0
9/5/17	1
10/5/17	1
11/5/17	1
12/5/17	2
13/5/17	0
14/5/17	0
15/5/17	0
16/5/17	0
17/5/17	0
18/5/17	0
19/5/17	1
20/5/17	1
21/5/17	1
22/5/17	0
23/5/17	0
24/5/17	0
25/5/17	1
26/5/17	2
27/5/17	0
28/5/17	0
29/5/17	0
30/5/17	0
31/5/17	0
1/6/17	0
2/6/17	1
3/6/17	0
4/6/17	0
5/6/17	0
6/6/17	0
7/6/17	1
8/6/17	0
9/6/17	0
10/6/17	0
11/6/17	1
12/6/17	0
13/6/17	0
14/6/17	1
15/6/17	0
16/6/17	0
17/6/17	0
18/6/17	0
19/6/17	0
20/6/17	0
21/6/17	0
22/6/17	0
23/6/17	0
24/6/17	0
25/6/17	0
26/6/17	0
27/6/17	0
28/6/17	1
29/6/17	0
30/6/17	2
1/7/17	1
2/7/17	0
3/7/17	0
4/7/17	0
5/7/17	0
6/7/17	0
7/7/17	0
8/7/17	0
9/7/17	0
10/7/17	0
11/7/17	0
12/7/17	0
13/7/17	0
14/7/17	0
15/7/17	0
16/7/17	0
17/7/17	1
18/7/17	0
19/7/17	0
20/7/17	0
21/7/17	0
22/7/17	0
23/7/17	0
24/7/17	0
25/7/17	0
26/7/17	1
27/7/17	1
28/7/17	0
29/7/17	1
30/7/17	0
31/7/17	0
1/8/17	0
2/8/17	0
3/8/17	0
4/8/17	0
5/8/17	0
6/8/17	0
7/8/17	0
8/8/17	0
9/8/17	0
10/8/17	1
11/8/17	0
12/8/17	0
13/8/17	0
14/8/17	0
15/8/17	0
16/8/17	0
17/8/17	0
18/8/17	0
19/8/17	0
20/8/17	0
21/8/17	1
22/8/17	1
23/8/17	0
24/8/17	0
25/8/17	0
26/8/17	0
27/8/17	0
28/8/17	3
29/8/17	0
30/8/17	1
31/8/17	1
1/9/17	1
2/9/17	0
3/9/17	0
4/9/17	0
5/9/17	0
6/9/17	0
7/9/17	1
